name,r,g,b,color
Rojo,15,50,28,0
Rojo,12,44,24,0
Rojo,12,43,23,0
Rojo,13,50,26,0
Rojo,13,50,27,0
Rojo,14,43,30,0
Rojo,22,110,98,0
Rojo,88,220,179,0
Rojo,149,266,178,0
Rojo,117,198,86,0
Rojo,22,49,24,0
Rojo,13,49,26,0
Rojo,13,49,26,0
Rojo,12,44,25,0
Rojo,16,65,42,0
Rojo,27,96,66,0
Rojo,45,149,105,0
Rojo,72,181,138,0
Rojo,107,233,169,0
Rojo,128,251,170,0
Rojo,122,241,158,0
Rojo,98,173,86,0
Rojo,35,79,40,0
Rojo,17,62,30,0
Rojo,12,47,24,0
Rojo,12,46,25,0
Rojo,12,59,48,0
Rojo,29,115,78,0
Rojo,57,189,139,0
Rojo,105,238,169,0
Rojo,132,259,176,0
Rojo,142,270,192,0
Rojo,145,260,155,0
Rojo,93,183,90,0
Rojo,33,80,36,0
Rojo,15,46,24,0
Rojo,13,49,26,0
Rojo,12,49,41,0
Rojo,34,143,104,0
Rojo,76,198,143,0
Rojo,108,236,173,0
Rojo,129,256,181,0
Rojo,139,256,155,0
Rojo,69,119,38,0
Rojo,21,57,26,0
Rojo,13,52,34,0
Rojo,14,45,20,0
Rojo,13,48,23,0
Rojo,17,82,73,0
Rojo,57,171,138,0
Rojo,106,227,168,0
Rojo,130,253,165,0
Rojo,100,156,59,0
Rojo,18,55,26,0
Rojo,12,50,26,0
Rojo,12,47,30,0
Rojo,27,124,88,0
Rojo,72,196,143,0
Rojo,111,238,162,0
Rojo,102,212,125,0
Rojo,61,123,57,0
Rojo,22,58,27,0
Rojo,12,49,26,0
Rojo,12,59,61,0
Rojo,55,174,136,0
Rojo,112,232,176,0
Rojo,143,269,197,0
Rojo,161,288,213,0
Rojo,180,298,217,0
Rojo,172,272,180,0
Rojo,90,144,59,0
Rojo,19,42,26,0
Rojo,13,48,26,0
Rojo,13,47,42,0
Rojo,36,138,105,0
Rojo,88,226,170,0
Rojo,136,269,194,0
Rojo,148,261,174,0
Rojo,116,218,161,0
Rojo,135,274,207,0
Rojo,171,252,125,0
Rojo,52,100,43,0
Rojo,16,47,26,0
Rojo,13,46,37,0
Rojo,32,134,109,0
Rojo,94,235,174,0
Rojo,137,266,199,0
Rojo,163,270,164,0
Rojo,70,111,46,0
Rojo,21,54,24,0
Rojo,12,49,25,0
Rojo,13,46,30,0
Rojo,31,143,109,0
Rojo,89,220,167,0
Rojo,121,253,176,0
Rojo,124,233,154,0
Rojo,114,213,143,0
Rojo,96,208,128,0
Rojo,74,154,77,0
Rojo,24,54,24,0
Rojo,13,49,25,0
Rojo,12,60,53,0
Rojo,44,155,115,0
Rojo,96,228,166,0
Rojo,133,260,191,0
Rojo,137,248,150,0
Rojo,82,164,84,0
Rojo,33,68,29,0
Rojo,11,49,26,0
Rojo,13,47,24,0
Rojo,17,96,86,0
Rojo,65,196,158,0
Rojo,121,253,191,0
Rojo,152,276,201,0
Rojo,160,278,194,0
Rojo,150,273,189,0
Rojo,139,243,162,0
Rojo,100,202,124,0
Rojo,73,179,112,0
Rojo,64,141,78,0
Rojo,40,105,57,0
Rojo,27,72,32,0
Rojo,11,48,25,0
Rojo,12,47,25,0
Rojo,13,48,23,0
Rojo,12,46,26,0
Rojo,14,56,35,0
Rojo,20,75,49,0
Rojo,30,106,70,0
Rojo,50,159,108,0
Rojo,76,209,154,0
Rojo,118,241,185,0
Rojo,145,273,207,0
Rojo,164,281,204,0
Rojo,158,266,171,0
Rojo,105,202,120,0
Rojo,69,159,87,0
Rojo,43,119,66,0
Rojo,33,90,47,0
Rojo,21,63,33,0
Rojo,16,55,27,0
Rojo,13,47,24,0
Rojo,11,44,25,0
Rojo,13,48,25,0
Rojo,13,47,23,0
Rojo,13,56,33,0
Rojo,20,79,52,0
Rojo,35,123,83,0
Rojo,55,154,104,0
Rojo,70,183,124,0
Rojo,85,201,137,0
Rojo,101,218,161,0
Rojo,121,247,181,0
Rojo,142,264,188,0
Rojo,154,264,184,0
Rojo,133,243,163,0
Rojo,97,192,115,0
Rojo,63,143,79,0
Rojo,40,101,52,0
Rojo,24,70,36,0
Rojo,14,45,23,0
Rojo,13,49,26,0
